Driver,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,round_13,round_14,round_15,round_16,round_17
J.R. Hildebrand,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
Dalton Kellett,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Charlie Kimball,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n
Sebastien Bourdais,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Colton Herta,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Alexander Rossi,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Ryan Hunter-Reay,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
James Hinchcliffe,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Marco Andretti,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
Patricio O'Ward,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Felix Rosenqvist,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Juan Pablo Montoya,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n
Max Chilton,y,y,n,n,y,y,y,y,y,y,y,y,y,n,y,y,y
Marcus Ericsson,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Scott Dixon,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Alex Palou,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Jimmie Johnson,y,y,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y
Tony Kanaan,n,n,y,y,n,y,n,n,n,n,n,n,n,y,n,n,n
Romain Grosjean,y,y,n,n,y,n,y,y,y,y,y,y,y,n,y,y,y
Pietro Fittipaldi,n,n,y,y,n,y,n,n,n,n,n,n,n,y,n,n,n
Ed Jones,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Conor Daly,y,y,n,n,y,y,y,y,y,y,y,y,y,n,y,y,y
Ed Carpenter,n,n,y,y,n,y,n,n,n,n,n,n,n,y,n,n,n
Rinus VeeKay,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Helio Castroneves,n,n,n,n,n,y,n,n,n,n,n,y,y,n,y,y,y
Jack Harvey,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Simona de Silvestro,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
Graham Rahal,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Takuma Sato,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Santino Ferrucci,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n
Josef Newgarden,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Scott McLaughlin,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Will Power,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
Simon Pagenaud,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
