raceNumber,date,year
1,10-Mar,2019
2,24-Mar,2019
3,7-Apr,2019
4,14-Apr,2019
5,11-May,2019
6,26-May,2019
7,1-Jun,2019
8,2-Jun,2019
9,8-Jun,2019
10,23-Jun,2019
11,14-Jul,2019
12,20-Jul,2019
13,28-Jul,2019
14,18-Aug,2019
15,24-Aug,2019
17,22-Sep,2019
16,1-Sep,2019
1,11-Mar,2018
2,7-Apr,2018
3,15-Apr,2018
4,23-Apr,2018
5,12-May,2018
6,27-May,2018
7,2-Jun,2018
8,3-Jun,2018
9,9-Jun,2018
10,24-Jun,2018
11,8-Jul,2018
12,15-Jul,2018
13,29-Jul,2018
14,19-Aug,2018
15,25-Aug,2018
16,2-Sep,2018
17,16-Sep,2018
1,12-Mar,2017
2,9-Apr,2017
3,23-Apr,2017
4,29-Apr,2017
5,13-May,2017
6,28-May,2017
7,3-Jun,2017
8,4-Jun,2017
9,10-Jun,2017
10,25-Jun,2017
11,9-Jul,2017
12,16-Jul,2017
13,30-Jul,2017
14,20-Aug,2017
15,26-Aug,2017
16,3-Sep,2017
17,17-Sep,2017
1,13-Mar,2016
2,2-Apr,2016
3,17-Apr,2016
4,24-Apr,2016
5,14-May,2016
6,29-May,2016
7,4-Jun,2016
8,5-Jun,2016
9,26-Jun,2016
10,10-Jul,2016
11,17-Jul,2016
12,31-Jul,2016
13,22-Aug,2016
14,27-Aug,2016
15,4-Sep,2016
16,18-Sep,2016
1,29-Mar,2015
2,12-Apr,2015
3,19-Apr,2015
4,26-Apr,2015
5,9-May,2015
6,24-May,2015
7,30-May,2015
8,31-May,2015
9,6-Jun,2015
10,14-Jun,2015
11,27-Jun,2015
12,12-Jul,2015
13,18-Jul,2015
14,2-Aug,2015
15,23-Aug,2015
16,30-Aug,2015
1,30-Mar,2014
2,13-Apr,2014
3,27-Apr,2014
4,10-May,2014
5,25-May,2014
6,31-May,2014
7,1-Jun,2014
8,7-Jun,2014
9,28-Jun,2014
10,29-Jun,2014
11,6-Jul,2014
12,12-Jul,2014
13,20-Jul,2014
14,21-Jul,2014
15,3-Aug,2014
16,17-Aug,2014
17,24-Aug,2014
18,30-Aug,2014
1,24-Mar,2013
2,7-Apr,2013
3,21-Apr,2013
4,5-May,2013
5,26-May,2013
6,1-Jun,2013
7,2-Jun,2013
8,8-Jun,2013
9,15-Jun,2013
10,23-Jun,2013
11,7-Jul,2013
12,13-Jul,2013
13,14-Jul,2013
14,4-Aug,2013
15,25-Aug,2013
16,1-Sep,2013
17,5-Oct,2013
18,6-Oct,2013
19,19-Oct,2013
1,25-Mar,2012
2,1-Apr,2012
3,15-Apr,2012
4,29-Apr,2012
5,27-May,2012
6,3-Jun,2012
7,9-Jun,2012
8,16-Jun,2012
9,23-Jun,2012
10,8-Jul,2012
11,22-Jul,2012
12,5-Aug,2012
13,26-Aug,2012
14,2-Sep,2012
15,15-Sep,2012
1,27-Mar,2011
2,10-Apr,2011
3,17-Apr,2011
4,1-May,2011
5,29-May,2011
6,11-Jun,2011
7,19-Jun,2011
8,25-Jun,2011
9,10-Jul,2011
10,24-Jul,2011
11,7-Aug,2011
12,14-Aug,2011
13,28-Aug,2011
14,4-Sep,2011
15,18-Sep,2011
16,2-Oct,2011
17,16-Oct,2011
1,14-Mar,2010
2,29-Mar,2010
3,11-Apr,2010
4,18-Apr,2010
5,1-May,2010
6,30-May,2010
7,5-Jun,2010
8,20-Jun,2010
9,4-Jul,2010
10,18-Jul,2010
11,25-Jul,2010
12,8-Aug,2010
13,22-Aug,2010
14,28-Aug,2010
15,4-Sep,2010
16,18-Sep,2010
17,2-Oct,2010
1,5-Apr,2009
2,19-Apr,2009
3,26-Apr,2009
4,24-May,2009
5,31-May,2009
6,6-Jun,2009
7,21-Jun,2009
8,27-Jun,2009
9,5-Jul,2009
10,12-Jul,2009
11,26-Jul,2009
12,1-Aug,2009
13,9-Aug,2009
14,23-Aug,2009
15,29-Aug,2009
16,18-Sep,2009
17,10-Oct,2009
1,29-Mar,2008
2,6-Apr,2008
3,20-Apr,2008
4,20-Apr,2008
5,27-Apr,2008
6,25-May,2008
7,1-Jun,2008
8,7-Jun,2008
9,22-Jun,2008
10,28-Jun,2008
11,6-Jul,2008
12,12-Jul,2008
13,20-Jul,2008
14,26-Jul,2008
15,9-Aug,2008
16,24-Aug,2008
17,31-Aug,2008
18,7-Sep,2008
